Mint_Adress, Dev_Total_count,Dev_Total_migrated_count,Type,LiquiditySOL,LiquidityToken,priceSOL,priceUsd,tokenAmount,totalSOL,TotalUSd,InnerIndex,OuterIndex,initialLiquiditySOL,InitialLiquidityToken,Supply,top10Holders,LpBurner,has_freezeAUthority,slot,DexPaid, Socials, Is_updated,CreatorRiskLevel,CreatorRugcount,CreatorTokenCount,Amount_topMarketCapcoins,Amount_topOgCoins,top10HoldersPercent,DevHoldsPercent,SniperHoldPercent,InsiderHoldPercent,BundlersHoldPercent,numHolders,numBotUsers,totalPairfeesPaid
X3qPC4HYu3DBSxGYbevftb16RJYNm3c87qV1z3tDXRj, 1, 0, sell, 4, 75585383, 0, 0, 202365, 0, 2, 6, 4, 3, 60000000, 98992453, 14, 100, 158, 2, 6, 1, 1,12.258533, 0.000000, 0.000000, 22.744101, 0.000000, 315, 24, 0.001493
4ZTzLk9dsmzLFSmT1tcFeLUyfKhuGPpWQPakkY8Hpump, 1, 0, , 0, -nan, nan, 0, -nan, -nan, nan, 1442184904, -1, 30, 1073000000, 1000000000, 1, 100, 4, nan, 200, 1, 1,0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0, 0.000000
9Nj2NN9z1JxmSPDtJ7b2VWn3m8RgeZx2jAeGWTp2pump, 1, 0, , 0, -nan, nan, 0, -nan, -nan, nan, 1442184904, -1, 30, 1073000000, 1000000000, 6, 100, 4, nan, 200, 1, 1,0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0, 0.000000
H9kRfXFRK6vbfCkq4TpGbqxV1YUQUMcdL3aQHNV6pump, 1, 0, sell, 0, 50029, 0, 0, 42998, 0, 0, -1, 1, 650, 206900000, 206900000, 14, 0, 126, 0, 255, 1, 1,99.581270, 90.231862, 99.301704, 0.028029, 9.069753, 11, 1, 0.000000
BUeSBsAanxQeM3EdpPvb7pciEQ4TALRQNfp9HCGexfwG, 1, 0, , 0, -nan, nan, 0, -nan, -nan, nan, 1442184904, -1, 10, 960000, 1000000, 4, 0, 4, nan, 200, 1, 1,99.891516, 96.327378, 0.000000, 99.891516, 0.000000, 8, 3, 0.000000
CJanz249LgvmL21uJsqpKfj7DLD4rQiBcoTUpHSemRS8, 4, 0, sell, 0, 124014, 0, 0, 59125, 0, 0, -1, 2, 5, 100000000, 98399580, 100, 0, 221, 0, 255, 1, 1,99.844731, 85.090682, 0.000000, 99.844731, 0.000000, 9, 1, 0.000000
96rAdTjjivb2icfvDw3TMa7n6zqmR5ptS4sNLipHpump, 0, 0, sell, 17, 992437991, 0, 0, 543139, 0, 2, 0, 3, 79, 206900000, 1000000000, 6, 100, 64, 2, 0, 1, 1,0.547570, 0.000000, 0.000000, 0.000001, 0.117364, 26, 9, 0.000514
GPrGBEsZzKrW5Z41NDTi248ZXcjnEjeUTZKY941gQCcN, DxuZtRqzVonQ6yFqv5fpDAUQS4pXvBxjR6x9CEvCukVd, 1, 0, sell, 0, 6605125, 0, 0, 6159460, 0, 0, -1, 3, 7, 2700000000, 2844592895, 100, 0, 181, 0, 255, 1, 1,99.767801, 0.000000, 0.000000, 21.876421, 0.000000, 7, 0, 0.000000
BowaDanNoPVWR3PgRWumiv1WrZ7ibrKWemJHTy6rpump, 1, 0, , 0, -nan, nan, 0, -nan, -nan, nan, 1442184904, -1, 30, 1073000000, 1000000000, 1, 100, 4, nan, 200, 1, 1,0.000242, 0.000000, 0.000000, 0.000242, 0.000000, 1, 0, 0.000000
29oG3N7SqF1RXv2w5BczoDWWf9MvqaP9Qi5injLvwjcM, 4, 1, , 0, -nan, nan, 0, -nan, -nan, nan, 1442184904, -1, 30, 1073000000, 999347446, 64, 100, 4, nan, 200, 1, 1,7.363164, 0.000000, 0.000000, 7.831837, 0.000000, 179, 22, 0.000000
